"","msoa","la","pred_leave","voters","population"
"2262","E02002322","E08000034",0.510633290724182,3524.22934663001,5101
"2263","E02002323","E08000034",0.485931622141247,4656.62020819061,6679
"2264","E02002324","E08000034",0.576983292901097,3633.6648471158,5227
"2265","E02002325","E08000034",0.52690010631082,4642.82410111278,6690
"2266","E02002326","E08000034",0.519504657428357,3353.07214589098,4781
"2267","E02002327","E08000034",0.508713626736108,5431.05242626049,7778
"2268","E02002328","E08000034",0.475538321951776,3856.28433407964,5511
"2269","E02002329","E08000034",0.466878128006861,6483.33056996629,9279
"2270","E02002330","E08000035",0.506864544246168,3664.0901298881,5324
"2271","E02002331","E08000035",0.571151512266488,3647.11523406878,5455
"2272","E02002332","E08000035",0.546925379014415,3070.43243382438,4558
"2273","E02002333","E08000035",0.488232984063389,4327.77367231699,6387
"2274","E02002334","E08000035",0.447605169140147,3928.79982543553,5720
"2275","E02002335","E08000035",0.423477354619049,4080.67164595157,5939
"2276","E02002336","E08000035",0.431102107385842,3611.18260746732,5251
"2277","E02002337","E08000035",0.420659247864251,3641.82262164815,5320
"2278","E02002338","E08000035",0.489773314882399,3596.71085478831,5308
"2279","E02002339","E08000035",0.588373277762419,2982.93350839781,4513
"2280","E02002340","E08000035",0.563933143685875,3039.61930188539,4520
"2281","E02002341","E08000035",0.397083235107492,3965.60102696222,5819
"2282","E02002342","E08000035",0.513164323471344,3140.81360607952,4655
"2283","E02002343","E08000035",0.489640602395293,3034.56527244062,4464
"2284","E02002344","E08000035",0.371443584845719,4145.04675752611,6163
"2285","E02002345","E08000035",0.374964007949748,3021.18969664199,4423
"2286","E02002346","E08000035",0.534823604895376,3082.09587193884,4667
"2287","E02002347","E08000035",0.545674066109111,2945.73591134278,4609
"2288","E02002348","E08000035",0.47781305432622,3185.28363866199,4808
"2289","E02002349","E08000035",0.306311082498476,3076.92978886982,4542
"2290","E02002350","E08000035",0.441843507550528,3417.38924086044,4989
"2291","E02002351","E08000035",0.482939677742066,2977.79356659013,4351
"2292","E02002352","E08000035",0.359787558907835,3955.99808140077,5911
"2293","E02002353","E08000035",0.297606746943472,2962.13712948751,4394
"2294","E02002354","E08000035",0.428506065848138,4078.60543115768,6195
"2295","E02002356","E08000035",0.363325356490911,4076.72703261207,5960
"2296","E02002357","E08000035",0.387103585622884,4260.00552235676,6358
"2297","E02002358","E08000035",0.601370439530311,3805.57843225608,5780
"2298","E02002359","E08000035",0.496270526906499,3500.67798613945,5124
"2299","E02002360","E08000035",0.397606928320243,3501.70886134976,5275
"2300","E02002361","E08000035",0.337475927931261,2938.27292224243,4418
"2301","E02002362","E08000035",0.572199010174897,3826.8399816986,5999
"2302","E02002363","E08000035",0.238842770512499,3984.24340807308,5947
"2303","E02002364","E08000035",0.694433891329268,2803.25350925374,4452
"2304","E02002366","E08000035",0.425929592258886,3802.13988793091,5840
